Death_Year,Death_Month,AgeGroup,sex,Covid_19,Diabetes_type1,Diabetes_type2,C19PlusDiabetes,C19PlusHypertension,C19PlusMajorCardio_diseases,C19PlusHypertensionAndMCVD,C19PlusChronicLowerRespiratoryDisease,C19PlusKidneyDisease,C19PlusChronicLiverDiseaseAndCirrhosis,C19PlusObesity,DIABETES
2020,1,<18 years,Female (F),0,3,5,0,0,0,0,0,0,0,0,8
2020,1,<18 years,Male (M),0,3,3,0,0,0,0,0,0,0,0,6
2020,1,18-29 years,Female (F),0,20,36,0,0,0,0,0,0,0,0,56
2020,1,18-29 years,Male (M),0,44,65,0,0,0,0,0,0,0,0,109
2020,1,30-39 years,Female (F),0,53,104,0,0,0,0,0,0,0,0,157
2020,1,30-39 years,Male (M),0,79,161,0,0,0,0,0,0,0,0,240
2020,1,40-49 years,Female (F),0,148,326,0,0,0,0,0,0,0,0,474
2020,1,40-49 years,Male (M),0,261,535,0,0,0,0,0,0,0,0,796
2020,1,50-59 years,Female (F),1,365,969,0,0,0,0,0,0,0,1,1334
2020,1,50-59 years,Male (M),0,620,1669,0,0,0,0,0,0,0,0,2289
2020,1,50-64 years,Female (F),1,671,1856,0,0,0,0,0,0,0,1,2527
2020,1,50-64 years,Male (M),0,1129,3156,0,0,0,0,0,0,0,0,4285
2020,1,60-69 years,Female (F),0,733,2120,0,0,0,0,0,0,0,0,2853
2020,1,60-69 years,Male (M),1,1130,3374,0,0,0,0,0,0,0,0,4504
2020,1,65-74 years,Female (F),2,918,2798,0,0,1,1,0,0,0,0,3716
2020,1,65-74 years,Male (M),1,1334,4177,0,0,0,0,0,0,0,0,5511
2020,1,70-79 years,Female (F),2,971,3188,0,0,1,1,0,0,0,0,4159
2020,1,70-79 years,Male (M),0,1316,4526,0,0,0,0,0,0,0,0,5842
2020,1,75-84 years,Female (F),1,993,3328,0,0,0,0,0,0,0,0,4321
2020,1,75-84 years,Male (M),0,1173,4295,0,0,0,0,0,0,0,0,5468
2020,1,80+ years,Female (F),2,1440,5112,0,0,0,0,1,0,0,0,6552
2020,1,80+ years,Male (M),1,1289,4856,0,1,1,1,1,0,0,0,6145
2020,1,85+ years,Female (F),1,927,3407,0,0,0,0,1,0,0,0,4334
2020,1,85+ years,Male (M),1,719,2797,0,1,1,1,1,0,0,0,3516
2020,1,Unknown age,Female (F),0,0,1,0,0,0,0,0,0,0,0,1
2020,1,Unknown age,Male (M),0,0,1,0,0,0,0,0,0,0,0,1
2020,2,<18 years,Female (F),0,4,6,0,0,0,0,0,0,0,0,10
2020,2,<18 years,Male (M),0,2,3,0,0,0,0,0,0,0,0,5
2020,2,18-29 years,Female (F),0,22,37,0,0,0,0,0,0,0,0,59
2020,2,18-29 years,Male (M),0,29,49,0,0,0,0,0,0,0,0,78
2020,2,30-39 years,Female (F),2,46,102,1,1,1,1,0,0,0,1,148
2020,2,30-39 years,Male (M),0,89,171,0,0,0,0,0,0,0,0,260
2020,2,40-49 years,Female (F),0,109,301,0,0,0,0,0,0,0,0,410
2020,2,40-49 years,Male (M),0,211,478,0,0,0,0,0,0,0,0,689
2020,2,50-59 years,Female (F),1,356,877,0,0,1,1,0,0,0,1,1233
2020,2,50-59 years,Male (M),4,622,1631,1,1,2,2,0,0,0,0,2253
2020,2,50-64 years,Female (F),2,667,1752,0,0,1,1,0,0,0,1,2419
2020,2,50-64 years,Male (M),4,1164,3091,1,1,2,2,0,0,0,0,4255
2020,2,60-69 years,Female (F),2,736,2083,0,0,0,0,0,0,0,0,2819
2020,2,60-69 years,Male (M),1,1129,3185,1,1,1,1,0,0,0,0,4314
2020,2,65-74 years,Female (F),2,871,2624,1,0,1,1,0,0,0,0,3495
2020,2,65-74 years,Male (M),2,1225,3798,1,1,1,1,0,0,0,0,5023
2020,2,70-79 years,Female (F),1,929,2983,1,0,1,1,0,0,0,0,3912
2020,2,70-79 years,Male (M),1,1227,4127,0,0,0,0,0,0,0,0,5354
2020,2,75-84 years,Female (F),1,901,3082,0,0,0,0,0,0,0,0,3983
2020,2,75-84 years,Male (M),1,1090,3962,0,1,1,1,1,0,0,0,5052
2020,2,80+ years,Female (F),3,1270,4765,0,1,1,1,0,0,0,0,6035
2020,2,80+ years,Male (M),1,1212,4524,0,1,1,1,1,0,0,0,5736
2020,2,85+ years,Female (F),2,852,3250,0,1,1,1,0,0,0,0,4102
2020,2,85+ years,Male (M),0,711,2616,0,0,0,0,0,0,0,0,3327
2020,2,Unknown age,Female (F),0,1,1,0,0,0,0,0,0,0,0,2
2020,3,<18 years,Female (F),1,1,1,0,0,0,0,0,0,0,0,2
2020,3,<18 years,Male (M),6,2,2,0,0,2,2,1,0,0,1,4
2020,3,18-29 years,Female (F),11,27,45,3,1,3,3,0,1,0,3,72
2020,3,18-29 years,Male (M),35,35,52,6,1,12,12,2,2,0,5,87
2020,3,30-39 years,Female (F),40,72,145,3,6,20,20,4,6,2,9,217
2020,3,30-39 years,Male (M),123,99,188,20,16,45,45,4,12,2,26,287
2020,3,40-49 years,Female (F),94,129,354,16,21,40,40,10,3,0,20,483
2020,3,40-49 years,Male (M),252,237,633,53,33,81,81,12,22,6,24,870
2020,3,50-59 years,Female (F),232,343,1011,50,47,100,100,17,16,1,26,1354
2020,3,50-59 years,Male (M),537,675,1785,98,95,210,210,32,44,3,44,2460
2020,3,50-64 years,Female (F),416,663,2033,88,87,178,178,35,32,2,36,2696
2020,3,50-64 years,Male (M),931,1228,3483,175,180,379,379,60,85,7,68,4711
2020,3,60-69 years,Female (F),445,742,2371,81,100,194,194,46,38,6,19,3113
2020,3,60-69 years,Male (M),850,1207,3781,163,181,366,366,70,84,8,32,4988
2020,3,65-74 years,Female (F),583,937,2976,99,132,267,267,63,47,6,21,3913
2020,3,65-74 years,Male (M),1040,1378,4515,174,214,462,462,83,103,6,18,5893
2020,3,70-79 years,Female (F),703,1043,3410,114,148,324,324,83,47,3,19,4453
2020,3,70-79 years,Male (M),1123,1359,4729,166,239,510,510,92,112,3,20,6088
2020,3,75-84 years,Female (F),762,1024,3566,93,151,329,329,92,42,2,9,4590
2020,3,75-84 years,Male (M),1099,1166,4474,156,246,497,497,109,94,3,13,5640
2020,3,80+ years,Female (F),1234,1434,5480,96,239,539,539,118,55,1,4,6914
2020,3,80+ years,Male (M),1395,1281,5194,166,284,622,622,125,90,3,6,6475
2020,3,85+ years,Female (F),853,938,3697,61,164,383,383,74,35,1,2,4635
2020,3,85+ years,Male (M),835,750,3017,88,159,370,370,67,48,1,3,3767
2020,3,Unknown age,Male (M),1,0,1,0,0,0,0,0,0,0,0,1
2020,4,<18 years,Female (F),9,5,6,0,0,3,3,3,0,0,2,11
2020,4,<18 years,Male (M),7,4,5,1,0,1,1,0,0,0,1,9
2020,4,18-29 years,Female (F),76,21,40,5,6,25,25,4,6,0,15,61
2020,4,18-29 years,Male (M),146,42,77,17,9,47,47,11,13,0,31,119
2020,4,30-39 years,Female (F),190,55,138,32,23,68,68,13,10,3,36,193
2020,4,30-39 years,Male (M),487,96,254,73,53,162,162,22,37,11,89,350
2020,4,40-49 years,Female (F),519,130,453,108,75,180,180,34,52,3,70,583
2020,4,40-49 years,Male (M),1284,291,851,233,212,504,504,39,112,15,165,1142
2020,4,50-59 years,Female (F),1480,388,1311,290,267,583,583,125,125,17,143,1699
2020,4,50-59 years,Male (M),3335,716,2391,628,589,1366,1366,138,285,29,196,3107
2020,4,50-64 years,Female (F),3031,761,2580,596,573,1226,1226,290,261,33,260,3341
2020,4,50-64 years,Male (M),6318,1272,4536,1165,1187,2652,2652,307,548,61,295,5808
2020,4,60-69 years,Female (F),3589,787,2858,702,740,1539,1539,373,297,32,227,3645
2020,4,60-69 years,Male (M),6743,1224,4788,1213,1369,2905,2905,406,644,63,205,6012
2020,4,65-74 years,Female (F),4814,959,3754,924,1044,2147,2147,497,376,34,206,4713
2020,4,70-79 years,Female (F),6143,1091,4427,1060,1319,2745,2745,625,420,29,172,5518
2020,4,Unknown age,Female (F),1,0,0,0,0,1,1,1,0,0,0,0
2020,4,Unknown age,Male (M),1,2,2,0,0,1,1,0,0,1,0,4
2020,5,<18 years,Female (F),6,3,5,0,0,1,1,0,0,0,0,8
2020,5,<18 years,Male (M),12,6,9,0,0,3,3,1,0,0,0,15
2020,5,18-29 years,Female (F),37,19,37,4,2,11,11,0,4,0,6,56
2020,5,18-29 years,Male (M),86,34,60,9,5,25,25,2,4,3,16,94
2020,5,30-39 years,Female (F),102,54,125,17,12,41,41,6,9,1,31,179
2020,5,30-39 years,Male (M),250,103,215,33,24,71,71,9,21,8,45,318
2020,5,40-49 years,Female (F),286,132,402,53,46,104,104,23,25,6,45,534
2020,5,40-49 years,Male (M),686,247,694,131,111,247,247,22,69,6,88,941
2020,5,50-59 years,Female (F),852,356,1086,178,169,373,373,87,83,29,87,1442
2020,5,50-59 years,Male (M),1792,627,1951,336,342,787,787,72,208,48,125,2578
2020,5,50-64 years,Female (F),1733,668,2113,344,340,752,752,189,166,53,152,2781
2020,5,50-64 years,Male (M),3380,1149,3730,626,650,1490,1490,178,365,89,194,4879
2020,5,60-69 years,Female (F),2117,685,2394,419,448,950,950,253,177,38,141,3079
2020,5,60-69 years,Male (M),3652,1120,3931,668,746,1638,1638,292,382,60,114,5051
2020,5,65-74 years,Female (F),2856,845,3143,533,597,1298,1298,342,227,26,128,3988
2020,5,65-74 years,Male (M),4404,1244,4695,822,962,2036,2036,401,479,49,100,5939
2020,5,70-79 years,Female (F),3548,934,3625,581,730,1583,1583,404,278,19,89,4559
2020,5,70-79 years,Male (M),4826,1190,4909,846,1041,2276,2276,474,516,48,96,6099
2020,5,75-84 years,Female (F),4351,899,3752,655,905,1917,1917,445,311,21,72,4651
2020,5,75-84 years,Male (M),4862,1028,4492,762,1082,2342,2342,513,454,24,59,5520
2020,5,85+ years,Male (M),4582,633,2986,508,1007,2278,2278,394,386,3,13,3619
